"Serial","IF-Event","IF-MatchNumber","IF-Alliance","IF-ScheduleID","IF-TeamKey","IF-TeamNumber","IF-TeamName","IF-ScouterID","IF-ScouterName","IF-OfficialID","IF-OfficialName","RI-ReScout","Auto-Taxi","Auto-TaxiPoints","Auto-LowScored#","Auto-LowMissed#","Auto-LowAccuracy","Auto-LowPoints","Auto-HighScored#","Auto-HighMissed#","Auto-HighAccuracy","Auto-HighPoints","Auto-TotalCargo#","Auto-CargoPoints","Auto-TotalPoints","Tele-LowScored#","Tele-LowMissed#","Tele-LowAccuracy","Tele-LowPoints","Tele-HighScored#","Tele-HighMissed#","Tele-HighAccuracy","Tele-HighPoints","Tele-TotalCargo#","Tele-CargoPoints","Tele-TotalPoints","EG-Climb1Attempt","EG-Climb1Failed","EG-Climb1Latched","EG-Climb1Scored","EG-Climb1Accuracy","EG-Climb2Attempt","EG-Climb2Failed","EG-Climb2Latched","EG-Climb2Scored","EG-Climb2Accuracy","EG-Climb3Attempt","EG-Climb3Failed","EG-Climb3Latched","EG-Climb3Scored","EG-Climb3Accuracy","EG-Climb4Attempt","EG-Climb4Failed","EG-Climb4Latched","EG-Climb4Scored","EG-Climb4Accuracy","EG-ClimbSetUpTime","EG-ClimbAscendTime","EG-TotalPoints","Total-LowCargo","Total-HighCargo#","Total-Cargo#","Total-LowCargoPoints","Total-HighCargoPoints","Total-CargoPoints","Total-Points","RI-Defense","RI-Foul","RI-TechFoul","RI-NoShow","RI-Broke","RI-Dead","RI-Feedback","Scan-IndexFixed#","Scan-IndexFixedError","Scan-IndexDynamic#","Scan-IndexTotal#","Scan-ScouterFixed#","Scan-ScouterFixedError","Scan-ScouterDynamic#","Scan-ScouterTotal#"
1,5,1,"R1",101,"frc8051","8051","frc8051 - TinkRex","A2C","Malia L","",NA,0,NA,0,8,18,0.307692307692308,16,0,0,NA,0,8,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,16,0,16,16,NA,0,0,0,0,0,0,4,0,0,4,16,5,5,21
2,5,1,"R2",102,"frc1778","1778","frc1778 - Chill Out","A2C","Malia L","",NA,0,NA,0,8,5,0.615384615384615,16,0,1,0,0,8,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,1,0,0,1,1,0,0,0,0,NA,0,0,0,0,NA,8,18,6,NA,NA,NA,16,0,16,22,NA,0,0,0,0,0,0,4,0,0,4,16,3,5,21
3,5,1,"R3",103,"frc2980","2980","frc2980 - Whidbey Island Wildcats","A2C","Malia L","",NA,0,NA,0,8,8,0.5,16,0,0,NA,0,8,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,NA,19,6,0,NA,NA,NA,16,0,16,16,NA,0,0,0,0,0,0,4,0,0,4,17,4,5,22
4,3,1,"B1",104,"frc3219","3219","frc3219 - TREAD (Trojan Robotics, Engineering, And Design)","A1A","Max LY","",NA,0,NA,0,0,5,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,4,0,0,4,15,4,5,20
5,3,1,"B2",105,"frc4205","4205","frc4205 - ROBOCUBS","A1A","Max LY","",NA,0,NA,0,8,0,1,16,0,0,NA,0,8,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,16,0,16,16,0,0,0,0,0,0,0,4,0,0,4,14,5,5,19
6,3,1,"B3",106,"frc2903","2903","frc2903 - NeoBots","A1A","Max LY","",NA,0,NA,0,8,7,0.533333333333333,16,0,0,NA,0,8,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,16,0,16,16,NA,0,0,0,0,0,0,4,0,0,4,15,4,6,21
7,5,2,"R1",201,"frc2928","2928","frc2928 - Viking Robotics","A2C","Malia L","",NA,0,NA,0,8,18,0.307692307692308,16,0,0,NA,0,8,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,16,0,16,16,NA,0,0,0,0,0,0,4,0,0,4,18,5,5,23
8,5,2,"R2",202,"frc8032","8032","frc8032 - Redshift","A2C","Malia L","",NA,0,NA,0,8,8,0.5,16,0,0,NA,0,8,16,16,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,1,0,0,1,1,0,0,0,0,NA,0,0,0,0,NA,5,6,6,NA,NA,NA,16,0,16,22,NA,0,0,0,0,0,0,4,0,0,4,19,5,5,24
9,5,2,"R3",203,"frc8248","8248","frc8248 - ChainLynx","A2C","Malia L","",NA,0,NA,0,0,5,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,1,0,0,0,4,0,0,4,4,15,4,8
10,3,2,"B1",204,"frc6350","6350","frc6350 - Clawbots","A1A","Max LY","",NA,0,NA,0,7,5,0.583333333333333,14,0,0,NA,0,7,14,14,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,14,0,14,14,NA,0,0,0,0,0,0,4,0,0,4,17,4,5,22
