"IF-ScheduleID","IF-TeamKey"
101,"frc8051"
102,"frc1778"
103,"frc2980"
104,"frc3219"
105,"frc4205"
106,"frc2903"
201,"frc2928"
202,"frc8032"
203,"frc8248"
204,"frc6350"
205,"frc2930"
206,"frc4173"
301,"frc5827"
302,"frc3268"
303,"frc4180"
304,"frc5941"
305,"frc4089"
306,"frc492"
401,"frc2522"
402,"frc5588"
403,"frc1899"
404,"frc4512"
405,"frc2412"
406,"frc3681"
501,"frc4911"
502,"frc4682"
503,"frc4131"
504,"frc3070"
505,"frc4309"
506,"frc2910"
601,"frc3663"
602,"frc7627"
603,"frc8032"
604,"frc492"
605,"frc7461"
606,"frc8051"
701,"frc2930"
702,"frc2980"
703,"frc4512"
704,"frc2412"
705,"frc3219"
706,"frc5588"
801,"frc2903"
802,"frc4131"
803,"frc5827"
804,"frc1899"
805,"frc2910"
806,"frc4173"
901,"frc4089"
902,"frc4682"
903,"frc2522"
904,"frc1778"
905,"frc8248"
906,"frc7627"
1001,"frc4180"
1002,"frc4309"
1003,"frc3663"
1004,"frc6350"
1005,"frc4205"
1006,"frc4911"
1101,"frc5941"
1102,"frc3070"
1103,"frc2928"
1104,"frc3681"
1105,"frc3268"
1106,"frc7461"
1201,"frc5827"
1202,"frc8032"
1203,"frc492"
1204,"frc2412"
1205,"frc4173"
1206,"frc2980"
1301,"frc2930"
1302,"frc8051"
1303,"frc4911"
1304,"frc1778"
1305,"frc1899"
1306,"frc4309"
1401,"frc6350"
1402,"frc4512"
1403,"frc3070"
1404,"frc2910"
1405,"frc4205"
1406,"frc4089"
1501,"frc3219"
1502,"frc3268"
1503,"frc4682"
1504,"frc3681"
1505,"frc2903"
1506,"frc5588"
1601,"frc7461"
1602,"frc2928"
1603,"frc4180"
1604,"frc5941"
1605,"frc8248"
1606,"frc2522"
1701,"frc4131"
1702,"frc3663"
1703,"frc4173"
1704,"frc7627"
1705,"frc4089"
1706,"frc8051"
1801,"frc1778"
1802,"frc2910"
1803,"frc4512"
1804,"frc2980"
1805,"frc6350"
1806,"frc492"
1901,"frc5588"
1902,"frc5827"
1903,"frc7461"
1904,"frc1899"
1905,"frc4682"
1906,"frc2928"
2001,"frc4309"
2002,"frc5941"
2003,"frc3219"
2004,"frc2522"
2005,"frc8032"
2006,"frc4131"
2101,"frc4205"
2102,"frc3681"
2103,"frc7627"
2104,"frc2903"
2105,"frc4911"
2106,"frc4180"
2201,"frc2412"
2202,"frc3070"
2203,"frc3268"
2204,"frc2930"
2205,"frc3663"
2206,"frc8248"
2301,"frc5588"
2302,"frc2980"
2303,"frc4089"
2304,"frc2928"
2305,"frc8051"
2306,"frc2910"
2401,"frc4682"
2402,"frc7627"
2403,"frc2903"
2404,"frc8032"
2405,"frc7461"
2406,"frc6350"
2501,"frc4512"
2502,"frc4131"
2503,"frc4309"
2504,"frc1899"
2505,"frc4180"
2506,"frc8248"
2601,"frc3268"
2602,"frc2522"
2603,"frc2930"
2604,"frc4205"
2605,"frc5827"
2606,"frc3070"
2701,"frc2412"
2702,"frc4911"
2703,"frc5941"
2704,"frc4173"
2705,"frc492"
2706,"frc1778"
2801,"frc3219"
2802,"frc3681"
2803,"frc1899"
2804,"frc3663"
2805,"frc4682"
2806,"frc7461"
2901,"frc2903"
2902,"frc2910"
2903,"frc2980"
2904,"frc8032"
2905,"frc2930"
2906,"frc4180"
3001,"frc8248"
3002,"frc492"
3003,"frc4911"
3004,"frc6350"
3005,"frc4089"
3006,"frc2412"
3101,"frc4173"
3102,"frc4309"
3103,"frc5827"
3104,"frc5588"
3105,"frc3663"
3106,"frc3268"
3201,"frc8051"
3202,"frc2522"
3203,"frc3219"
3204,"frc4512"
3205,"frc5941"
3206,"frc4205"
3301,"frc1778"
3302,"frc2928"
3303,"frc3681"
3304,"frc4131"
3305,"frc3070"
3306,"frc7627"
3401,"frc2910"
3402,"frc8248"
3403,"frc4682"
3404,"frc3268"
3405,"frc4309"
3406,"frc492"
3501,"frc4512"
3502,"frc4911"
3503,"frc4089"
3504,"frc5941"
3505,"frc4173"
3506,"frc2903"
3601,"frc8032"
3602,"frc1778"
3603,"frc2412"
3604,"frc7627"
3605,"frc4180"
3606,"frc5588"
3701,"frc3070"
3702,"frc2930"
3703,"frc3681"
3704,"frc5827"
3705,"frc6350"
3706,"frc8051"
3801,"frc2980"
3802,"frc1899"
3803,"frc4131"
3804,"frc4205"
3805,"frc2522"
3806,"frc7461"
3901,"frc3663"
3902,"frc3219"
3903,"frc1778"
3904,"frc2928"
3905,"frc4173"
3906,"frc3268"
4001,"frc4180"
4002,"frc8051"
4003,"frc5941"
4004,"frc4682"
4005,"frc5827"
4006,"frc2412"
4101,"frc4205"
4102,"frc5588"
4103,"frc2930"
4104,"frc4131"
4105,"frc7461"
4106,"frc8248"
4201,"frc4309"
4202,"frc6350"
4203,"frc2928"
4204,"frc2522"
4205,"frc4512"
4206,"frc7627"
4301,"frc4089"
4302,"frc3663"
4303,"frc3070"
4304,"frc8032"
4305,"frc2980"
4306,"frc3681"
4401,"frc492"
4402,"frc1899"
4403,"frc2903"
4404,"frc2910"
4405,"frc3219"
4406,"frc4911"
4501,"frc8051"
4502,"frc8248"
4503,"frc4512"
4504,"frc3268"
4505,"frc4131"
4506,"frc1778"
4601,"frc2930"
4602,"frc7461"
4603,"frc4309"
4604,"frc5588"
4605,"frc6350"
4606,"frc5941"
4701,"frc4089"
4702,"frc1899"
4703,"frc5827"
4704,"frc4911"
4705,"frc2928"
4706,"frc2980"
4801,"frc3219"
4802,"frc4180"
4803,"frc3070"
4804,"frc3663"
4805,"frc2903"
4806,"frc2412"
4901,"frc4173"
4902,"frc8032"
4903,"frc4205"
4904,"frc3681"
4905,"frc492"
4906,"frc4682"
5001,"frc7627"
5002,"frc2910"
5003,"frc6350"
5004,"frc2522"
5005,"frc1778"
5006,"frc5827"
5101,"frc8248"
5102,"frc2903"
5103,"frc3268"
5104,"frc7461"
5105,"frc4512"
5106,"frc1899"
5201,"frc2980"
5202,"frc4205"
5203,"frc3663"
5204,"frc4682"
5205,"frc5941"
5206,"frc2930"
5301,"frc4180"
5302,"frc3681"
5303,"frc2910"
5304,"frc2928"
5305,"frc7627"
5306,"frc3219"
5401,"frc492"
5402,"frc2412"
5403,"frc4131"
5404,"frc4309"
5405,"frc4089"
5406,"frc8032"
5501,"frc8051"
5502,"frc4173"
5503,"frc5588"
5504,"frc4911"
5505,"frc3070"
5506,"frc2522"
5601,"frc7627"
5602,"frc5827"
5603,"frc5941"
5604,"frc8248"
5605,"frc2980"
5606,"frc3219"
5701,"frc4309"
5702,"frc2412"
5703,"frc4205"
5704,"frc2903"
5705,"frc2928"
5706,"frc4512"
5801,"frc4089"
5802,"frc2930"
5803,"frc1778"
5804,"frc4173"
5805,"frc4180"
5806,"frc4682"
5901,"frc2910"
5902,"frc492"
5903,"frc2522"
5904,"frc3681"
5905,"frc8051"
5906,"frc3663"
6001,"frc1899"
6002,"frc3268"
6003,"frc6350"
6004,"frc3070"
6005,"frc5588"
6006,"frc8032"
6101,"frc7461"
6102,"frc4911"
6103,"frc4173"
6104,"frc4131"
6105,"frc3219"
6106,"frc2930"
6201,"frc4682"
6202,"frc1778"
6203,"frc4205"
6204,"frc5827"
6205,"frc4512"
6206,"frc3663"
6301,"frc492"
6302,"frc5588"
6303,"frc2928"
6304,"frc3070"
6305,"frc2903"
6306,"frc8051"
6401,"frc8248"
6402,"frc3681"
6403,"frc6350"
6404,"frc2980"
6405,"frc2522"
6406,"frc4309"
6501,"frc7461"
6502,"frc2412"
6503,"frc2910"
6504,"frc4180"
6505,"frc4131"
6506,"frc4089"
6601,"frc3268"
6602,"frc5941"
6603,"frc8032"
6604,"frc4911"
6605,"frc7627"
6606,"frc1899"
