"IF-ScheduleID","IF-TeamKey","Auto-Taxi","Auto-LowScored#","Auto-HighScored#","Tele-LowScored#","Tele-HighScored#","EG-TotalPoints"
101,"frc8051","0",0,0,1,2,"0"
102,"frc1778","0",0,0,1,2,"6"
103,"frc2980","0",0,0,1,2,"6"
104,"frc3219","1",0,0,0,0,"0"
105,"frc4205","1",0,0,0,0,"0"
106,"frc2903","1",0,0,0,0,"0"
201,"frc2928","1",0,0,0,0,"6"
202,"frc8032","0",0,0,0,0,"0"
203,"frc8248","1",0,0,0,0,"0"
204,"frc6350","0",0,0,7,0,"0"
205,"frc2930","0",0,0,7,0,"15"
206,"frc4173","1",0,0,7,0,"0"
301,"frc5827","0",0,0,2,0,"6"
302,"frc3268","0",0,0,2,0,"0"
303,"frc4180","1",0,0,2,0,"0"
304,"frc5941","0",0,0,0,3,"0"
305,"frc4089","1",0,0,0,3,"6"
306,"frc492","1",0,0,0,3,"6"
401,"frc2522","1",0,1,0,2,"10"
402,"frc5588","1",0,1,0,2,"0"
403,"frc1899","1",0,1,0,2,"0"
404,"frc4512","0",0,0,0,0,"0"
405,"frc2412","0",0,0,0,0,"0"
406,"frc3681","1",0,0,0,0,"0"
501,"frc4911","0",0,1,4,0,"0"
502,"frc4682","0",0,1,4,0,"0"
503,"frc4131","1",0,1,4,0,"0"
504,"frc3070","1",0,1,0,3,"0"
505,"frc4309","0",0,1,0,3,"0"
506,"frc2910","1",0,1,0,3,"15"
601,"frc3663","1",0,0,0,0,"0"
602,"frc7627","1",0,0,0,0,"0"
603,"frc8032","1",0,0,0,0,"0"
604,"frc492","1",0,1,1,2,"6"
605,"frc7461","1",0,1,1,2,"6"
606,"frc8051","0",0,1,1,2,"0"
701,"frc2930","0",0,0,9,0,"15"
702,"frc2980","0",0,0,9,0,"6"
703,"frc4512","0",0,0,9,0,"0"
704,"frc2412","0",0,0,0,0,"0"
705,"frc3219","1",0,0,0,0,"0"
706,"frc5588","0",0,0,0,0,"0"
801,"frc2903","1",0,0,5,0,"0"
802,"frc4131","0",0,0,5,0,"0"
803,"frc5827","0",0,0,5,0,"0"
804,"frc1899","1",0,1,0,3,"6"
805,"frc2910","1",0,1,0,3,"10"
806,"frc4173","1",0,1,0,3,"0"
901,"frc4089","1",0,2,0,5,"0"
902,"frc4682","0",0,2,0,5,"0"
903,"frc2522","1",0,2,0,5,"0"
904,"frc1778","0",1,0,0,0,"6"
905,"frc8248","1",1,0,0,0,"0"
906,"frc7627","1",1,0,0,0,"0"
1001,"frc4180","1",0,1,0,3,"0"
1002,"frc4309","1",0,1,0,3,"0"
1003,"frc3663","1",0,1,0,3,"0"
1004,"frc6350","0",0,1,0,1,"15"
1005,"frc4205","1",0,1,0,1,"0"
1006,"frc4911","1",0,1,0,1,"10"
1101,"frc5941","1",1,0,0,0,"0"
1102,"frc3070","1",1,0,0,0,"0"
1103,"frc2928","0",1,0,0,0,"6"
1104,"frc3681","1",0,0,0,3,"0"
1105,"frc3268","0",0,0,0,3,"0"
1106,"frc7461","1",0,0,0,3,"0"
1201,"frc5827","1",1,0,2,3,"6"
1202,"frc8032","1",1,0,2,3,"0"
1203,"frc492","1",1,0,2,3,"6"
1204,"frc2412","0",0,0,1,0,"0"
1205,"frc4173","1",0,0,1,0,"0"
1206,"frc2980","0",0,0,1,0,"0"
1301,"frc2930","1",0,1,1,0,"6"
1302,"frc8051","0",0,1,1,0,"0"
1303,"frc4911","0",0,1,1,0,"0"
1304,"frc1778","0",0,0,0,1,"15"
1305,"frc1899","1",0,0,0,1,"0"
1306,"frc4309","1",0,0,0,1,"0"
1401,"frc6350","1",0,0,0,0,"6"
1402,"frc4512","0",0,0,0,0,"4"
1403,"frc3070","0",0,0,0,0,"0"
1404,"frc2910","1",0,1,0,10,"15"
1405,"frc4205","1",0,1,0,10,"0"
1406,"frc4089","1",0,1,0,10,"6"
1501,"frc3219","0",0,0,0,0,"0"
1502,"frc3268","0",0,0,0,0,"0"
1503,"frc4682","1",0,0,0,0,"0"
1504,"frc3681","1",0,0,3,0,"0"
1505,"frc2903","1",0,0,3,0,"0"
1506,"frc5588","0",0,0,3,0,"0"
1601,"frc7461","1",0,0,0,5,"6"
1602,"frc2928","0",0,0,0,5,"0"
1603,"frc4180","1",0,0,0,5,"0"
1604,"frc5941","0",0,0,0,4,"0"
1605,"frc8248","1",0,0,0,4,"0"
1606,"frc2522","1",0,0,0,4,"10"
1701,"frc4131","1",0,0,4,1,"0"
1702,"frc3663","1",0,0,4,1,"0"
1703,"frc4173","0",0,0,4,1,"6"
1704,"frc7627","1",0,0,1,0,"0"
1705,"frc4089","1",0,0,1,0,"10"
1706,"frc8051","0",0,0,1,0,"0"
1801,"frc1778","0",0,0,0,6,"6"
1802,"frc2910","1",0,0,0,6,"10"
1803,"frc4512","0",0,0,0,6,"0"
1804,"frc2980","0",0,0,0,2,"0"
1805,"frc6350","0",0,0,0,2,"6"
1806,"frc492","0",0,0,0,2,"0"
1901,"frc5588","0",0,0,2,0,"0"
1902,"frc5827","0",0,0,2,0,"6"
1903,"frc7461","1",0,0,2,0,"0"
1904,"frc1899","1",0,0,0,0,"0"
1905,"frc4682","0",0,0,0,0,"6"
1906,"frc2928","1",0,0,0,0,"0"
2001,"frc4309","1",0,0,0,1,"0"
2002,"frc5941","0",0,0,0,1,"0"
2003,"frc3219","1",0,0,0,1,"0"
2004,"frc2522","1",0,0,3,0,"15"
2005,"frc8032","1",0,0,3,0,"0"
2006,"frc4131","0",0,0,3,0,"0"
2101,"frc4205","1",0,0,0,0,"0"
2102,"frc3681","1",0,0,0,0,"0"
2103,"frc7627","1",0,0,0,0,"0"
2104,"frc2903","0",0,1,0,1,"0"
2105,"frc4911","0",0,1,0,1,"15"
2106,"frc4180","1",0,1,0,1,"0"
2201,"frc2412","0",0,0,0,1,"6"
2202,"frc3070","1",0,0,0,1,"0"
2203,"frc3268","0",0,0,0,1,"0"
2204,"frc2930","0",1,0,4,2,"15"
2205,"frc3663","1",1,0,4,2,"0"
2206,"frc8248","1",1,0,4,2,"6"
2301,"frc5588","1",0,0,1,5,"0"
2302,"frc2980","0",0,0,1,5,"6"
2303,"frc4089","1",0,0,1,5,"6"
2304,"frc2928","1",0,1,0,3,"0"
2305,"frc8051","0",0,1,0,3,"0"
2306,"frc2910","1",0,1,0,3,"10"
2401,"frc4682","1",0,0,0,0,"0"
2402,"frc7627","1",0,0,0,0,"0"
2403,"frc2903","0",0,0,0,0,"4"
2404,"frc8032","0",0,0,0,2,"0"
2405,"frc7461","1",0,0,0,2,"6"
2406,"frc6350","0",0,0,0,2,"6"
2501,"frc4512","1",0,0,4,0,"0"
2502,"frc4131","1",0,0,4,0,"0"
2503,"frc4309","0",0,0,4,0,"0"
2504,"frc1899","1",1,0,3,0,"0"
2505,"frc4180","1",1,0,3,0,"0"
2506,"frc8248","1",1,0,3,0,"6"
2601,"frc3268","0",0,1,2,1,"0"
2602,"frc2522","1",0,1,2,1,"4"
2603,"frc2930","0",0,1,2,1,"15"
2604,"frc4205","1",1,0,6,0,"0"
2605,"frc5827","1",1,0,6,0,"6"
2606,"frc3070","1",1,0,6,0,"0"
2701,"frc2412","0",0,0,0,2,"6"
2702,"frc4911","1",0,0,0,2,"15"
2703,"frc5941","1",0,0,0,2,"0"
2704,"frc4173","1",0,1,0,4,"6"
2705,"frc492","1",0,1,0,4,"6"
2706,"frc1778","0",0,1,0,4,"0"
2801,"frc3219","1",0,0,3,0,"0"
2802,"frc3681","1",0,0,3,0,"0"
2803,"frc1899","1",0,0,3,0,"0"
2804,"frc3663","1",0,1,0,1,"0"
2805,"frc4682","0",0,1,0,1,"0"
2806,"frc7461","1",0,1,0,1,"6"
2901,"frc2903","0",0,0,2,0,"0"
2902,"frc2910","1",0,0,2,0,"0"
2903,"frc2980","1",0,0,2,0,"0"
2904,"frc8032","0",0,0,0,0,"0"
