"address","city","country","gmaps_place_id","gmaps_url","key","lat","lng","location_name","motto","name","nickname","postal_code","rookie_year","school_name","state_prov","team_number","website"
NA,"Pontiac","USA",NA,NA,"frc1",NA,NA,NA,NA,"FCA Foundation/Hirotec America/Molex&Oakland Schools Technical Campus Northeast","The Juggernauts","48340","1997","Oakland Schools Technical Campus Northeast","Michigan","1","http://www.juggernautsteam1.com"
NA,"Van Nuys","USA",NA,NA,"frc4",NA,NA,NA,NA,"Boston Scientific/Aerojet Rocketdyne/Raytheon/Lockheed Martin/Sawing Services/SolidWorks/WAAG/Full Scale Effects/Environtology/Avery Dennison/ABACORP CNC Machined Parts/Center for Autism and Related Disorders&High Tech Los Angeles","Team 4 ELEMENT","91406","1997","High Tech Los Angeles","California","4","http://www.team4element.com"
NA,"Melvindale","USA",NA,NA,"frc5",NA,NA,NA,NA,"Ford FIRST Robotics & Melvindale High School","Robocards","48122","1998",NA,"MI","5","http://www.robocards.org/"
NA,"Plymouth","USA",NA,NA,"frc6",NA,NA,NA,NA,"ATK (Alliant Techsystems) & Hopkins High School","The CogSquad","55442","1994",NA,"MN","6","http://www.cogsquad.com/"
NA,"Baltimore","USA",NA,NA,"frc7",NA,NA,NA,NA,"Lockheed Martin/Northrop Grumman/Oak Harbor Marina/US Army/jcpenney/US Army Aberdeen Test Center/Moffatt & Nichol/Baltimore Area Alliance/Mr.Brookman & Parkville High School and Center for Mathematics, Science, and Computer Science","Team007","21234","1997",NA,"MD","7","http://www.team007.org"
NA,"Palo Alto","USA",NA,NA,"frc8",NA,NA,NA,NA,"Apple/Bayer Fund/KLA Foundation/Arm Inc./TE Connectivity/BAE Systems/Intuitive Foundation/Markforged/Robby Technologies/Notion/Kirk’s Steakburgers/Emotiv/Solidworks/Asian Box/D&K Precision Sheet Metal/Dropbox & Palo Alto High School","Paly Robotics","94301","1996","Palo Alto High School","California","8","http://www.palyrobotics.com/"
NA,"Chicago","USA",NA,NA,"frc9",NA,NA,NA,NA,"Roosevelt High School","Roosevelt RoboRiders","60625","1998",NA,"IL","9","http://www.roboriders9.com"
NA,"St. Louis Park","USA",NA,NA,"frc10",NA,NA,NA,NA,"Benilde-St. Margaret's School","Red Knights","55416","1998",NA,"MN","10",NA
NA,"Flanders","USA",NA,NA,"frc11",NA,NA,NA,NA,"Siemens / National Defense Education Program / BAE Systems / ABB / Chameleon Designs / Nokia / LGS Innovations / Mt. Olive School District & Mt Olive High School","MORT","07836","1997","Mt Olive High School","New Jersey","11","http://www.mort11.org"
NA,NA,NA,NA,NA,"frc13",NA,NA,NA,NA,"Team 13","Triskadekamanics","60050","1996",NA,NA,"13",NA
NA,NA,NA,NA,NA,"frc14",NA,NA,NA,NA,"Team 14","The Rulers","33705","1997",NA,NA,"14",NA
NA,NA,NA,NA,NA,"frc15",NA,NA,NA,NA,"Team 15","Mustechs","00683","1997",NA,NA,"15",NA
